image_path,angle1,angle2,angle3
aa1ff635-c136-4f15-be54-d4721cae10b4.jpg,0.0,0.0,0.0
6fd49e51-38e9-45e8-bada-f6bb5ea52b83.jpg,0.0,0.0,0.0
c7283acc-5304-49cd-9fe5-73499974fe9b.jpg,0.0,0.0,0.0
fee63b62-7e34-445d-b481-1bf0049007c2.jpg,0.0,0.0,0.0
a1b19ed3-b931-4dbd-b387-564170b69fc9.jpg,0.0,0.0,0.0
33582b08-b6d1-4d12-b5ca-0c7931212b3f.jpg,0.0,0.0,0.0
2f7a84a1-124b-41a1-978d-f9cd04675f1b.jpg,0.0,0.0,0.0
98095a6a-1732-4241-9b75-3939d2f6b485.jpg,0.0,0.0,0.0
cd65c721-adc7-495f-8450-25c761115941.jpg,0.0,0.0,0.0
d9673149-be20-4b8f-af19-43e8ceb8fd37.jpg,0.0,0.0,0.0
491bc248-19f0-4c29-8b23-0fbac1dd90d6.jpg,0.0,0.0,0.0
2860d628-5ff5-4e6b-aa7d-62ec0ac6cffe.jpg,0.0,0.0,0.0
af47d400-79b6-407f-876f-2b888e746811.jpg,0.0,0.0,0.0
b5467247-e3f3-4bc9-824f-36600eca0945.jpg,0.0,0.0,0.0
64241ef4-574c-4ef2-9c04-b1cdb53caf35.jpg,0.0,0.0,0.0
b04d5256-a876-4cb1-8fe0-01ea91a7c8ed.jpg,0.0,0.0,0.0
768ccbf6-2dcb-4b89-90a6-f1f2a7a7f227.jpg,0.0,0.0,0.0
02cd8557-2c65-4534-8ce2-c9e464b303b2.jpg,0.0,0.0,0.0
f7f916d8-45de-4c03-a483-49a99d891972.jpg,0.0,0.0,0.0
3a467b88-3654-44d4-95d3-d0bf2cae5d71.jpg,0.0026474400565527443,0.016634356464970895,0.016634356464970895
c4c4947e-8637-4cc2-8735-a20ed5431540.jpg,0.010295743534166252,0.06469006450036262,0.06469006450036262
f1bae875-9b6d-4a2b-80a9-59b84f2ff9ed.jpg,0.04911679304157034,0.3086099123745753,0.3086099123745753
f224edab-da10-4162-850d-6a59a10109af.jpg,0.08709972333664309,0.5472637019282028,0.5472637019282028
e093fa0e-07d0-43b9-bda9-16e85ddc4b27.jpg,0.11201282596422722,0.7037973423140965,0.7037973423140965
